antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'whole milk', 'yogurt'})",frozenset({'sausage'}),0.011160863463209249,0.06034886052262247,0.0014702933903628951,0.1317365269461078,2.1829165589087607,1.0,0.0007967479979096469,1.082218898570497,0.5480135908968025,0.02099236641221374,0.07597252152877744,0.07804988030583351
"frozenset({'whole milk', 'sausage'})",frozenset({'yogurt'}),0.008955423377664907,0.08587850030074183,0.0014702933903628951,0.16417910447761194,1.9117602648237413,1.0,0.000701215061130829,1.0936810799973267,0.48123149357217726,0.015748031496062992,0.08565667058769612,0.09064986352285266
"frozenset({'yogurt', 'sausage'})",frozenset({'whole milk'}),0.005747510525964045,0.15792287642852368,0.0014702933903628951,0.2558139534883721,1.6198663504217148,1.0,0.0005626299957994361,1.1315411347991713,0.38487720520388397,0.009064688916357644,0.11624953857511999,0.13256207619403793
"frozenset({'whole milk', 'sausage'})",frozenset({'rolls/buns'}),0.008955423377664907,0.11000467820624206,0.0011361358016440553,0.12686567164179105,1.1532752398396837,1.0,0.0001509973347833698,1.0193108813706289,0.1341052706739179,0.009642654566080544,0.01894503602734246,0.06859686984276672
"frozenset({'sausage', 'rolls/buns'})",frozenset({'whole milk'}),0.005346521419501437,0.15792287642852368,0.0011361358016440553,0.2125,1.345593525179856,1.0,0.0002917977601896749,1.0693042839002875,0.25821406974400324,0.007007419620774939,0.06481250000000001,0.10984712230215828
"frozenset({'whole milk', 'sausage'})",frozenset({'soda'}),0.008955423377664907,0.09710619528169484,0.0010693042839002875,0.11940298507462688,1.2296124333596987,1.0,0.00019967719255850386,1.0253200833241771,0.18842302245599854,0.010184595798854236,0.024694808709966105,0.06520734250290187
"frozenset({'sausage', 'soda'})",frozenset({'whole milk'}),0.005948005079195348,0.15792287642852368,0.0010693042839002875,0.17977528089887643,1.138373901011379,1.0,0.0001299782127822893,1.0266419725734437,0.12228132983730017,0.006568144499178983,0.02595059746745144,0.09327316732205776
frozenset({'semi-finished bread'}),frozenset({'whole milk'}),0.009490075519615051,0.15792287642852368,0.001670787943594199,0.176056338028169,1.1148247930239072,1.0,0.0001720879200126737,1.0220081328816208,0.10398488630996562,0.010080645161290324,0.02153420523138833,0.09331805475255255
frozenset({'semi-finished bread'}),frozenset({'other vegetables'}),0.009490075519615051,0.12210118291786407,0.0010024727661565194,0.1056338028169014,0.8651333287078794,1.0,-0.00015627668076834177,0.9815876537453803,-0.13598311724652554,0.0076765609007164795,-0.018757719888147402,0.05692199172043757
frozenset({'soda'}),frozenset({'whole milk'}),0.09710619528169484,0.15792287642852368,0.011628684087415625,0.11975223675154853,0.7582956912879478,1.0,-0.003706605590499557,0.9566364820557898,-0.26091698560373644,0.04777594728171335,-0.04532914932433168,0.09669372311551189
"frozenset({'other vegetables', 'soda'})",frozenset({'whole milk'}),0.009690570072846355,0.15792287642852368,0.0011361358016440553,0.11724137931034483,0.7423964276854379,1.0,-0.0003942268984920092,0.953915491545813,-0.2594702648675662,0.006824568446407066,-0.048310892172961126,0.062217811957330685
